2017-09-17 17:36:06,839 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:06,841 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2017-09-17 17:36:07,078 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:07,079 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:10,328 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee\pom.xml.
2017-09-17 17:36:10,376 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.dhbw.sumatra:sumatra:5.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\pom.xml.
2017-09-17 17:36:10,683 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-gui:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-gui\pom.xml.
2017-09-17 17:36:11,088 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-main:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-main\pom.xml.
2017-09-17 17:36:11,617 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common\pom.xml.
2017-09-17 17:36:11,907 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-bot:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-bot\pom.xml.
2017-09-17 17:36:12,174 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-clock:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-clock\pom.xml.
2017-09-17 17:36:12,594 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-gpu:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-gpu\pom.xml.
2017-09-17 17:36:13,023 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-gui:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-gui\pom.xml.
2017-09-17 17:36:13,272 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-gui-config:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-gui-config\pom.xml.
2017-09-17 17:36:13,545 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-model:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-model\pom.xml.
2017-09-17 17:36:13,813 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:module-template:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\module-template\pom.xml.
2017-09-17 17:36:14,387 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:moduli-ai:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\moduli-ai\pom.xml.
2017-09-17 17:36:14,948 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:moduli-aisimulation:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\moduli-aisimulation\pom.xml.
2017-09-17 17:36:15,287 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:moduli-autoreferee:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\moduli-autoreferee\pom.xml.
2017-09-17 17:36:15,598 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:moduli-autoreferee-legacy:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\moduli-autoreferee-legacy\pom.xml.
2017-09-17 17:36:15,864 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:moduli-botmanager:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\moduli-botmanager\pom.xml.
2017-09-17 17:36:15,894 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common\pom.xml.
2017-09-17 17:36:17,031 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:17,032 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:17,040 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:17,041 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:17,265 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-bot:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-bot\pom.xml.
2017-09-17 17:36:17,295 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-model:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:17,511 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
